# Server version 0.08 running on ppl-1.CS.McGill.CA:8123
# Game ID: 2
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 1000
# First Move Timeout: 30000
# Date: Mon Mar 20 16:05:34 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on ppl-1.CS.McGill.CA
# Player 2: Player-1, 'RandomPlayer', running on ppl-1.CS.McGill.CA
START Player-0 GreedyPlayer
START Player-1 RandomPlayer
PIT 0 0
PIT 1 3
PIT 0 5
PIT 1 4
PIT 0 3
PIT 1 1
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 0
PIT 1 0
PIT 0 5
PIT 0 1
PIT 1 2
PIT 0 0
PIT 1 4
PIT 0 3
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 5
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 5
PIT 0 0
PIT 1 4
PIT 0 5
PIT 1 3
PIT 0 0
PIT 1 4
PIT 0 2
PIT 0 4
PIT 1 0
PIT 1 5
PIT 0 0
PIT 1 2
PIT 0 2
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 0
PIT 1 5
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 4
PIT 0 4
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0         Player-0 score: 56  Player-1 score: 16
# Game ended: Mon Mar 20 16:05:36 EDT 2017
